Datenfeldname im Minimaldatensatz;Verpflichtungsgrad ;Feldinhalt Beispieldatensatz;Ausprägung in LIDO
DATENFELDER ERFASSUNG;;;
Objekttitel oder -benennung;Pflicht;;<titleWrap>
Text;;Kabinettschrank, Inv. Nr.: 1977.20;<titleSet> / <appellationValue>
Objekttyp;Pflicht;;<objectWorkTypeWrap>
URI [AAT];;http://vocab.getty.edu/aat/300379868;<objectWorkType> / <conceptID
Text, deutsch;;Kabinettschrank;"<objectWorkType> / <term xml:lang=""de"">"
Text, englisch;;display cabinets;"<objectWorkType> / <term xml:lang=""en"">"
Klassifikation;Empfehlung;;<classificationWrap>
Objektgattung;;;"<classification lido:type=""http://terminology.lido-schema.org/lido00853"">"
URI [OBG];;http://obg.vocnet.org/00000883;<classification> / <conceptID>
URI [Hessische Systematik];;https://term.museum-digital.de/hesys/tag/275;<classification> / <conceptID>
Text;;Schrankmöbel;<classification> / <term>
Inventarnummer;Pflicht;1977.20;"<workID lido:type=""http://terminology.lido-schema.org/lido00113"">"
Objektbeschreibung;Empfehlung ;;<objectDescriptionWrap>
Text;;Die große Welt im kleinen Schrank: Die Fassadenarchitektur des Kabinettschranks findet ihr Vorbild im antiken Theaterbau. Mit seinem ausgeklügelten System von Fächern und Schubladen diente er zur Aufbewahrung von gesammelten Kostbarkeiten der Kunstkammer. Über seine Bestimmung zum funktionalen Möbel hinaus ist der Schrank selbst auch als Kunstwerk zu verstehen. Die Elfenbeintafeln zeigen ein umfangreiches Bildprogramm: die Gründer der vier großen Weltreiche des Altertums und die Taten des tugendhaften antiken Helden Herkules. Die ausziehbare Schreibplatte enthält eine drehbare Weltkarte, die auf die Habsburger verweist und vermuten lässt, dass das Kabinettmöbel für König Phillipp II. von Spanien angefertigt worden ist.;<objectDescriptionSet>/<descriptiveNoteValue>
Material;Empfehlung;;"<eventMaterialsTech> / <termMaterialsTech lido:type=""http://terminology.lido-schema.org/lido00132"">"
URI [AAT] (1);;http://vocab.getty.edu/aat/300375333;<termMaterialsTech> / <conceptID>
Text (1);;Palisander;<termMaterialsTech> / <term>
URI [Wikidata] (2);;http://www.wikidata.org/entity/Q156005;<termMaterialsTech> / <conceptID>
Text (2);;Ebenholz;<termMaterialsTech> / <term>
URI [AAT] (3);;http://vocab.getty.edu/aat/300011857;<termMaterialsTech> / <conceptID>
Text (3);;Elfenbein (Material);<termMaterialsTech> / <term>
Technik;Empfehlung;;"<eventMaterialsTech> / <termMaterialsTech lido:type=""http://terminology.lido-schema.org/lido00131"">"
URI [GND];;https://d-nb.info/gnd/4191438-7;<termMaterialsTech> / <conceptID>
Text;;Gravierung;<termMaterialsTech> / <term>
Maße;Empfehlung;;<objectMeasurementsWrap>/<objectMeasurementsSet>
Standardisierte Ansetzung;;;<objectMeasurements>/<measurementsSet>
Maßtyp;;Höhe;<measurementType>
Maßeinheit;;cm;<measurementUnit>
Maßwert;;106;<measurementValue>
Standardisierte Ansetzung;;;<objectMeasurements>/<measurementsSet>
Maßtyp;;Breite;<measurementType>
Maßeinheit;;cm;<measurementValue>
Maßwert;;101,1;<measurementUnit>
Standardisierte Ansetzung;;;<objectMeasurements>/<measurementsSet>
Maßtyp;;Tiefe;<measurementType>
Maßeinheit;;cm;<measurementValue>
Maßwert;;60,9;<measurementUnit>
Anzeige;;;<objectMeasurementsSet>
Text;;Breite: 190 cm (geöffnet);<displayObjectMeasurements>
Standardisierte Ansetzung;;;<objectMeasurements>/<measurementsSet>
Maßtyp;;Breite;<measurementType>
Maßeinheit;;cm ;<measurementValue>
Maßwert;;190;<measurementUnit>
Ereignis in der Objektgeschichte (Feldgruppe);Pflicht;;<eventWrap>
Ereignistyp;Pflicht;;<eventSet> / <event> / <eventType>
URI;;http://terminology.lido-schema.org/lido00007;<conceptID>
Text, deutsch;;Herstellung;"<term xml:lang=""de"">"
Text, englisch;;Production;"<term xml:lang=""en"">"
Person/Körperschaft;mind. ein Wer, Wann oder Wo;;<eventActor>
Personenname (1);;;<actor>
URI [GND];;https://d-nb.info/gnd/1229708928;<actorID>
Text;;Fiammingo, Giacomo;<nameActorSet> / <appellationValue>
Rolle/Funktion (1);;;<roleActor>
Text;;Künstler;<roleActor> / <term>
Personenname (2);;;<actor>
URI [GND];;https://d-nb.info/gnd/161108342;<actorID>
Text;;Curtis, Giovanni Battista de;<nameActorSet> / <appellationValue>
Rolle/Funktion (2);;;<roleActor>
Text;;Graveur;<roleActor> / <term>
Personenname (3);;;<actor>
URI [VIAF];;http://viaf.org/viaf/89840489;<actorID>
Text;;Picicaro, Januarius;<nameActorSet> / <appellationValue>
Rolle/Funktion (3);;;<roleActor>
Text;;Graveur;<roleActor> / <term>
Datierung;mind. ein Wer, Wann oder Wo;;<eventDate>
Verbale Angabe;;um 1600;<displayDate>
